Channel name,Video id,Video title,Video description,Video thumbnail,Video category,Video rating,Video view count,Video like count,Video comment count,Video license,Video duration,Video publish time
b'FOOT BALL',IloFji0fHGM,b'Lewandowski did it again \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82',b'#shorts',https://i.ytimg.com/vi/IloFji0fHGM/hqdefault.jpg,17,100.0,2,2,0,False,PT10S,2022-09-07T13:00:36Z
b'FOOT BALL',MNDnZpeMN64,b'Messi took that personally against Ronaldo.. \xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8',b'',https://i.ytimg.com/vi/MNDnZpeMN64/hqdefault.jpg,17,100.0,1,1,0,False,PT23S,2022-09-07T10:00:37Z
b'FOOT BALL',N0Xb3z_O3TA,b'Is Neymar attacked too hard..? \xf0\x9f\xa7\x90',b'',https://i.ytimg.com/vi/N0Xb3z_O3TA/hqdefault.jpg,17,100.0,1,1,0,False,PT8S,2022-09-06T14:00:25Z
b'FOOT BALL',KTgmOR_xZys,b'Neymar back in his Barca days.. \xf0\x9f\xa5\xb2',b'',https://i.ytimg.com/vi/KTgmOR_xZys/hqdefault.jpg,17,100.0,1,1,0,False,PT11S,2022-09-06T12:00:37Z
b'FOOT BALL',QOl4g-KDNtM,b'Haaland is applauded by the Barca fans.. \xf0\x9f\x94\xae',b'',https://i.ytimg.com/vi/QOl4g-KDNtM/hqdefault.jpg,17,100.0,1,1,0,False,PT18S,2022-09-05T14:00:35Z
b'FOOT BALL',N_uYgz81L_Q,b'Messi destroyed a player as usual \xf0\x9f\x98\xb1\xf0\x9f\x98\xa8',b'#shorts',https://i.ytimg.com/vi/N_uYgz81L_Q/hqdefault.jpg,17,100.0,1,1,0,False,PT16S,2022-09-05T12:00:43Z
b'FOOT BALL',7DaLdv0q9sk,b'De Bruyne outplayed by the goalkeeper \xf0\x9f\x98\xac\xf0\x9f\x98\xae',b'#shorts',https://i.ytimg.com/vi/7DaLdv0q9sk/hqdefault.jpg,17,100.0,2,2,0,False,PT7S,2022-09-04T12:00:36Z
b'FOOT BALL',3Mby-4JpdY0,b'Nunez dominance \xf0\x9f\xa5\xb5',b'#shorts',https://i.ytimg.com/vi/3Mby-4JpdY0/hqdefault.jpg,17,50.0,2,1,0,False,PT16S,2022-09-07T16:00:40Z
b'FOOT BALL',jOJUPTn4hZk,b'Pep and his old friend Pique \xf0\x9f\x98\x8d',b'#shorts',https://i.ytimg.com/vi/jOJUPTn4hZk/hqdefault.jpg,17,0,0,1,0,False,PT10S,2022-09-06T10:00:28Z
b'FOOT BALL',Czy0AJAmP6Y,b'Rafael Leao destroys his opponent.. \xf0\x9f\x98\x88',b'',https://i.ytimg.com/vi/Czy0AJAmP6Y/hqdefault.jpg,17,0.0,2,0,0,False,PT9S,2022-09-05T10:00:38Z
